 Date , Total Revenue , Cost of Revenue , Gross Profit , Premium Revenue , Premium Cost of Revenue , Premium Gross Profit , Ad Revenue ,Ad Cost of revenue,Ad Gross Profit,MAUs , Premium MAUs , Ad MAUs , Premium ARPU , Sales and Marketing Cost , Research and Development Cost , Genreal and Adminstraive Cost ,Gross profit margin,Premium Gross profit margin,Ad Gross profit margin
 30-09-2024 ,"3,988","2,748","1,240","3,516","2,338","1,178",472,410,62,640,252,402,4.71,332,342,112,31.09%,33.50%,13.14%
 30-06-2024 ,"3,807","2,695","1,112","3,351","2,300","1,051",456,395,61,626,246,393,4.62,343,379,124,29.21%,31.36%,13.38%
 31-03-2024 ,"3,636","2,632","1,004","3,247","2,268",979,389,364,25,615,239,388,4.55,324,389,123,27.61%,30.15%,6.43%
 31-12-2023 ,"3,671","2,691",980,"3,170","2,248",922,501,443,58,602,236,379,4.39,432,468,155,26.70%,29.09%,11.58%
 30-09-2023 ,"3,357","2,472",885,"2,910","2,062",848,447,410,37,602,236,379,4.34,355,369,129,26.36%,29.14%,8.28%
 30-06-2023 ,"3,177","2,411",766,"2,773","1,984",789,404,427,-23,551,220,343,4.27,399,453,161,24.11%,28.45%,-5.69%
 31-03-2023 ,"3,042","2,276",776,"2,713","1,937",776,329,339,-10,515,210,317,4.32,347,435,140,25.51%,28.60%,-3.04%
 31-12-2022 ,"3,166","2,365",801,"2,717","1,939",778,449,426,23,489,205,295,4.55,453,415,164,25.30%,28.63%,5.12%
 30-09-2022 ,"3,036","2,286",750,"2,651","1,908",743,385,378,7,456,195,273,4.63,432,386,160,24.70%,28.03%,1.82%
 30-06-2022 ,"2,864","2,160",704,"2,504","1,804",700,360,356,4,433,188,265,4.54,391,336,171,24.58%,27.96%,1.11%
 31-03-2022 ,"2,661","1,990",671,"2,379","1,704",675,282,286,-4,422,182,252,4.38,296,250,131,25.22%,28.37%,-1.42%
 31-12-2021 ,"2,689","1,977",712,"2,295","1,625",670,394,352,42,406,180,236,4.4,340,253,126,26.48%,29.19%,10.66%
 30-09-2021 ,"2,501","1,833",668,"2,178","1,545",633,323,288,35,381,172,220,4.34,280,208,105,26.71%,29.06%,10.84%
 30-06-2021 ,"2,331","1,668",663,"2,056","1,423",633,275,245,30,365,165,210,4.29,279,255,117,28.44%,30.79%,10.91%
 31-03-2021 ,"2,147","1,599",548,"1,931","1,393",538,216,206,10,356,158,208,4.12,236,196,102,25.52%,27.86%,4.63%
 31-12-2020 ,"2,168","1,593",575,"1,887","1,342",545,281,251,30,345,155,199,4.26,294,232,118,26.52%,28.88%,10.68%
 30-09-2020 ,"1,975","1,486",489,"1,790","1,302",488,185,184,1,320,144,185,4.19,256,176,97,24.76%,27.26%,0.54%
 30-06-2020 ,"1,889","1,410",479,"1,758","1,263",495,131,147,-16,299,138,170,4.41,248,267,131,25.36%,28.16%,-12.21%
 31-03-2020 ,"1,848","1,376",472,"1,700","1,219",481,148,157,-9,286,130,163,4.42,231,162,96,25.54%,28.29%,-6.08%
 31-12-2019 ,"1,855","1,381",474,"1,638","1,189",449,217,192,25,271,124,153,4.65,276,173,102,25.55%,27.41%,11.52%
 30-09-2019 ,"1,731","1,290",441,"1,561","1,142",419,170,148,22,248,113,141,4.67,178,136,73,25.48%,26.84%,12.94%
 30-06-2019 ,"1,667","1,233",434,"1,502","1,089",413,165,144,21,232,108,129,4.86,200,151,86,26.03%,27.50%,12.73%
 31-03-2019 ,"1,511","1,138",373,"1,385","1,023",362,126,115,11,217,100,123,4.71,172,155,93,24.69%,26.14%,8.73%
 31-12-2018 ,"1,495","1,096",399,"1,320",959,361,175,147,28,207,96,116,4.89,163,100,42,26.69%,27.35%,16.00%
 30-09-2018 ,"1,352","1,010",342,"1,210",894,316,142,116,26,191,87,109,4.73,146,135,67,25.30%,26.12%,18.31%
 30-06-2018 ,"1,273",944,329,"1,150",841,309,123,103,20,180,83,101,4.89,173,143,103,25.84%,26.87%,16.26%
 31-03-2018 ,"1,139",856,283,"1,037",767,270,102,89,13,170,75,99,4.72,138,115,71,24.85%,26.04%,12.75%
 31-12-2017 ,"1,449",867,582,"1,018",761,257,130,106,24,160,71,93,5.24,173,123,73,40.17%,25.25%,18.46%
 30-09-2017 ,"1,032",802,230,923,711,212,109,91,18,150,62,91,5.06,138,98,67,22.29%,22.97%,16.51%
 30-06-2017 ,"1,007",775,232,904,686,218,103,89,14,138,59,83,5.53,146,95,70,23.04%,24.12%,13.59%
 31-03-2017 ,902,797,105,828,710,118,74,87,-13,131,52,82,5.46,110,80,54,11.64%,14.25%,-17.57%
